track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
1BokDaNfW9LVbEHBABNIUv,Birdie,['León Larregui'],62,Voluma,spotify:track:1BokDaNfW9LVbEHBABNIUv,0.602,0.521,5,-9.963,1,0.033,0.0864,0.393,0.111,0.631,90.023,audio_features,1BokDaNfW9LVbEHBABNIUv,https://api.spotify.com/v1/tracks/1BokDaNfW9LVbEHBABNIUv,https://api.spotify.com/v1/audio-analysis/1BokDaNfW9LVbEHBABNIUv,197160,4,2016,0
5qoa9jscO4TQwrSaaOzE98,Heartbreak (Even If U Came Back),['RAYYA'],29,Heartbreak (Even If U Came Back),,0.588,0.55,2,-4.53,0,0.0737,0.046,0.0,0.194,0.657,187.916,audio_features,,,,163404,4,2024,1
47N81NMkB488fuOwOC3Oip,Nobody - from Kaiju No. 8,['OneRepublic'],69,Nobody (from Kaiju No. 8),,0.693,0.811,5,-5.765,1,0.0313,0.395,0.0,0.106,0.944,139.959,audio_features,,,,153626,4,2024,1
7uQmJ1jgNzBpATSoWKSPFu,Ya No Tiene Novio,"['Sebastian Yatra', 'Mau y Ricky']",67,Ya No Tiene Novio,spotify:track:7uQmJ1jgNzBpATSoWKSPFu,0.632,0.832,7,-1.948,0,0.154,0.048,0.0,0.0705,0.784,182.184,audio_features,7uQmJ1jgNzBpATSoWKSPFu,https://api.spotify.com/v1/tracks/7uQmJ1jgNzBpATSoWKSPFu,https://api.spotify.com/v1/audio-analysis/7uQmJ1jgNzBpATSoWKSPFu,198933,4,2018,0
2l57cfmCnOkwNX1tky02n1,Move Along,['The All-American Rejects'],67,Move Along,spotify:track:2l57cfmCnOkwNX1tky02n1,0.518,0.916,3,-3.858,1,0.0454,0.000148,0.0,0.291,0.646,109.864,audio_features,2l57cfmCnOkwNX1tky02n1,https://api.spotify.com/v1/tracks/2l57cfmCnOkwNX1tky02n1,https://api.spotify.com/v1/audio-analysis/2l57cfmCnOkwNX1tky02n1,238880,4,2005,0
5z0gNlg8OmYnUyt6RtR0jG,Fast Talk,['Tom Morgan'],29,Fast Talk,,0.793,0.663,0,-3.935,0,0.0302,0.0194,2.4e-06,0.113,0.677,110.005,audio_features,,,,149388,4,2024,1
7s7l6bJ1ifVnPGUgkupNYr,Lifetime,['Darvishi'],11,Lifetime,,0.675,0.738,8,-6.929,1,0.0427,0.106,1.01e-06,0.0711,0.424,114.004,audio_features,,,,213800,4,2024,1
3xEASsMGLw6MhgI0vZL2JW,Heart For A Heart,['Maya Lane'],39,Heart For A Heart,,0.558,0.449,0,-9.874,0,0.0277,0.518,0.0,0.0853,0.385,111.478,audio_features,,,,194914,4,2024,1
2YHdICHG2FeZhfWiLHI1dG,Wire Wings,"['The Venerable', 'Kydd Jones', 'Blair Woods']",14,Wire Wings,,0.549,0.627,10,-9.651,0,0.0393,0.016,2.02e-06,0.334,0.351,90.99,audio_features,,,,224175,4,2024,1
5fiKIc9nFfSt1FsBHrSvWZ,Receipts (feat. Gunna),"['Diplo', 'Mau P', 'Gunna']",62,Receipts (feat. Gunna),spotify:track:5fiKIc9nFfSt1FsBHrSvWZ,0.746,0.905,8,-6.503,1,0.049,0.193,0.29,0.0866,0.33,130.043,audio_features,5fiKIc9nFfSt1FsBHrSvWZ,https://api.spotify.com/v1/tracks/5fiKIc9nFfSt1FsBHrSvWZ,https://api.spotify.com/v1/audio-analysis/5fiKIc9nFfSt1FsBHrSvWZ,234462,4,2024,0
0YZYYluqemqOfY8oSEx68s,Ndiani - Afro House,"['Constantin', 'Ambiental Planet', 'Dawda']",21,Ndiani,,0.768,0.84,7,-5.764,1,0.0658,0.0019,0.21,0.37,0.152,122.033,audio_features,,,,187868,4,2024,1
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),"['ATB', 'Topic', 'A7S']",74,Your Love (9PM),,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,audio_features,,,,150052,4,2021,1
3iz1sex1DWaVqtvbh2DAwB,Back to You (18th Birthday Edition),['Cameron Sage From'],28,Back to You (18th Birthday Edition),,0.591,0.714,5,-6.009,0,0.0515,0.00401,0.0,0.0572,0.34,154.955,audio_features,,,,167225,4,2024,1
06qSdtPjbVgC4SZzIoWEuu,MY EX FRIEND,['Cate Tomlinson'],31,MY EX FRIEND,,0.853,0.518,1,-7.873,0,0.119,0.121,2.1e-05,0.091,0.611,121.039,audio_features,,,,169132,4,2024,1
1Swd8UbwQki9BK5zDFhflv,Abran Paso,"['Alemán', 'Gera MX']",57,Rich Mafia Vol. 1,spotify:track:1Swd8UbwQki9BK5zDFhflv,0.779,0.764,6,-3.396,1,0.246,0.184,1.3e-05,0.102,0.562,83.03,audio_features,1Swd8UbwQki9BK5zDFhflv,https://api.spotify.com/v1/tracks/1Swd8UbwQki9BK5zDFhflv,https://api.spotify.com/v1/audio-analysis/1Swd8UbwQki9BK5zDFhflv,236003,4,2024,0
7cy1bEJV6FCtDaYpsk8aG6,China Grove,['The Doobie Brothers'],61,The Captain and Me,spotify:track:7cy1bEJV6FCtDaYpsk8aG6,0.623,0.91,9,-8.448,1,0.0384,0.319,0.000448,0.081,0.745,145.624,audio_features,7cy1bEJV6FCtDaYpsk8aG6,https://api.spotify.com/v1/tracks/7cy1bEJV6FCtDaYpsk8aG6,https://api.spotify.com/v1/audio-analysis/7cy1bEJV6FCtDaYpsk8aG6,195307,4,1973,0
5hultE7GeExA3RkTvtsear,Rewind,['Craig David'],51,Born to Do It,spotify:track:5hultE7GeExA3RkTvtsear,0.894,0.792,11,-8.292,0,0.149,0.119,0.00161,0.206,0.758,130.022,audio_features,5hultE7GeExA3RkTvtsear,https://api.spotify.com/v1/tracks/5hultE7GeExA3RkTvtsear,https://api.spotify.com/v1/audio-analysis/5hultE7GeExA3RkTvtsear,333000,4,2000,0
