track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
2sUknbm8xdLQgH7wb8xcTX,Por Mi México,"['Lefty Sm', 'Santa Fe Klan']",68,Necesidad,spotify:track:2sUknbm8xdLQgH7wb8xcTX,0.782,0.662,1,-6.809,0,0.178,0.0345,0.0,0.216,0.821,80.008,audio_features,2sUknbm8xdLQgH7wb8xcTX,https://api.spotify.com/v1/tracks/2sUknbm8xdLQgH7wb8xcTX,https://api.spotify.com/v1/audio-analysis/2sUknbm8xdLQgH7wb8xcTX,218250,4
1aHD6BlYi6rsJCetEWH9f4,Volando,['Lefty Sm'],68,Volando,spotify:track:1aHD6BlYi6rsJCetEWH9f4,0.918,0.649,4,-7.487,0,0.0536,0.208,0.0,0.104,0.476,117.968,audio_features,1aHD6BlYi6rsJCetEWH9f4,https://api.spotify.com/v1/tracks/1aHD6BlYi6rsJCetEWH9f4,https://api.spotify.com/v1/audio-analysis/1aHD6BlYi6rsJCetEWH9f4,218000,4
6sKHf7XZWBHQlShNLNm73F,Qué Bonita,['Lefty Sm'],65,Qué Bonita,spotify:track:6sKHf7XZWBHQlShNLNm73F,0.831,0.726,7,-6.216,0,0.0384,0.352,0.0,0.126,0.898,143.958,audio_features,6sKHf7XZWBHQlShNLNm73F,https://api.spotify.com/v1/tracks/6sKHf7XZWBHQlShNLNm73F,https://api.spotify.com/v1/audio-analysis/6sKHf7XZWBHQlShNLNm73F,230417,4
52k464DnpIm5sVQNEY76PN,Par de Dosis,"['Lefty Sm', 'C-Kan']",64,Par de Dosis,spotify:track:52k464DnpIm5sVQNEY76PN,0.829,0.755,11,-6.727,0,0.064,0.261,1.42e-06,0.113,0.907,138.012,audio_features,52k464DnpIm5sVQNEY76PN,https://api.spotify.com/v1/tracks/52k464DnpIm5sVQNEY76PN,https://api.spotify.com/v1/audio-analysis/52k464DnpIm5sVQNEY76PN,231304,4
5Ob6YvBxWniRR0VpA6YGVs,Sientelo,"['Lefty Sm', 'McKlopedia', 'Yoss Bones']",62,Sientelo,spotify:track:5Ob6YvBxWniRR0VpA6YGVs,0.92,0.338,1,-10.833,1,0.223,0.361,0.0,0.0849,0.729,95.013,audio_features,5Ob6YvBxWniRR0VpA6YGVs,https://api.spotify.com/v1/tracks/5Ob6YvBxWniRR0VpA6YGVs,https://api.spotify.com/v1/audio-analysis/5Ob6YvBxWniRR0VpA6YGVs,188265,4
5bZ1FNzTSeFOg58a4k00iQ,Solita,"['Dharius', 'Lefty Sm']",62,Solita,spotify:track:5bZ1FNzTSeFOg58a4k00iQ,0.799,0.781,0,-4.409,1,0.09,0.0471,0.0,0.105,0.886,90.002,audio_features,5bZ1FNzTSeFOg58a4k00iQ,https://api.spotify.com/v1/tracks/5bZ1FNzTSeFOg58a4k00iQ,https://api.spotify.com/v1/audio-analysis/5bZ1FNzTSeFOg58a4k00iQ,202667,4
3Jm4jlq8Tl9ejmyVBwmSQ2,Mexicano,"['Lefty Sm', 'Dharius']",62,Mexicano,spotify:track:3Jm4jlq8Tl9ejmyVBwmSQ2,0.854,0.695,11,-7.714,0,0.0702,0.287,0.0,0.0764,0.661,124.082,audio_features,3Jm4jlq8Tl9ejmyVBwmSQ2,https://api.spotify.com/v1/tracks/3Jm4jlq8Tl9ejmyVBwmSQ2,https://api.spotify.com/v1/audio-analysis/3Jm4jlq8Tl9ejmyVBwmSQ2,174194,4
6B8higk6pidzE5DQbBGOzy,Encerrado En Mi Mundo,['Lefty Sm'],61,Encerrado En Mi Mundo,spotify:track:6B8higk6pidzE5DQbBGOzy,0.786,0.521,5,-8.586,0,0.0415,0.222,0.0,0.111,0.765,139.952,audio_features,6B8higk6pidzE5DQbBGOzy,https://api.spotify.com/v1/tracks/6B8higk6pidzE5DQbBGOzy,https://api.spotify.com/v1/audio-analysis/6B8higk6pidzE5DQbBGOzy,238000,4
4NTWZqvfQTlOMitlVn6tew,The Show Goes On,['Lupe Fiasco'],67,Lasers,spotify:track:4NTWZqvfQTlOMitlVn6tew,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067,audio_features,4NTWZqvfQTlOMitlVn6tew,https://api.spotify.com/v1/tracks/4NTWZqvfQTlOMitlVn6tew,https://api.spotify.com/v1/audio-analysis/4NTWZqvfQTlOMitlVn6tew,239613,4
7dltD9eEX7X1zk8JJ9BS0e,Superstar (feat. Matthew Santos),"['Lupe Fiasco', 'Matthew Santos']",66,Lupe Fiasco's The Cool,spotify:track:7dltD9eEX7X1zk8JJ9BS0e,0.572,0.822,11,-6.015,0,0.361,0.207,0.0,0.359,0.472,94.812,audio_features,7dltD9eEX7X1zk8JJ9BS0e,https://api.spotify.com/v1/tracks/7dltD9eEX7X1zk8JJ9BS0e,https://api.spotify.com/v1/audio-analysis/7dltD9eEX7X1zk8JJ9BS0e,289000,4
1hWYT0w2R0J19rlVkiez7X,Battle Scars (with Guy Sebastian),"['Lupe Fiasco', 'Guy Sebastian']",61,"Food & Liquor II: The Great American Rap Album, Pt. 1",spotify:track:1hWYT0w2R0J19rlVkiez7X,0.517,0.811,5,-4.526,0,0.286,0.186,0.0,0.105,0.494,168.269,audio_features,1hWYT0w2R0J19rlVkiez7X,https://api.spotify.com/v1/tracks/1hWYT0w2R0J19rlVkiez7X,https://api.spotify.com/v1/audio-analysis/1hWYT0w2R0J19rlVkiez7X,250320,4
6nz35DNIzbtj5ztpDEcW1j,"Kick, Push",['Lupe Fiasco'],58,Lupe Fiasco's Food & Liquor,spotify:track:6nz35DNIzbtj5ztpDEcW1j,0.652,0.809,5,-5.276,1,0.17,0.164,0.0,0.175,0.512,94.786,audio_features,6nz35DNIzbtj5ztpDEcW1j,https://api.spotify.com/v1/tracks/6nz35DNIzbtj5ztpDEcW1j,https://api.spotify.com/v1/audio-analysis/6nz35DNIzbtj5ztpDEcW1j,254466,4
50M2QjfSM82wkJ1d0iV4mh,Daydreamin' (feat. Jill Scott),"['Lupe Fiasco', 'Jill Scott']",57,Lupe Fiasco's Food & Liquor,spotify:track:50M2QjfSM82wkJ1d0iV4mh,0.533,0.739,5,-3.573,0,0.0602,0.029,0.0,0.266,0.617,81.37,audio_features,50M2QjfSM82wkJ1d0iV4mh,https://api.spotify.com/v1/tracks/50M2QjfSM82wkJ1d0iV4mh,https://api.spotify.com/v1/audio-analysis/50M2QjfSM82wkJ1d0iV4mh,234307,4
0wJw5QXDKXTYn8IVyh3wqz,Samurai,['Lupe Fiasco'],53,Samurai,spotify:track:0wJw5QXDKXTYn8IVyh3wqz,0.485,0.639,5,-4.575,0,0.0552,0.0102,0.000117,0.105,0.503,188.49,audio_features,0wJw5QXDKXTYn8IVyh3wqz,https://api.spotify.com/v1/tracks/0wJw5QXDKXTYn8IVyh3wqz,https://api.spotify.com/v1/audio-analysis/0wJw5QXDKXTYn8IVyh3wqz,194787,4
2dXME00xUY1CRcMZsM3Y4q,"Paris, Tokyo",['Lupe Fiasco'],50,Lupe Fiasco's The Cool,spotify:track:2dXME00xUY1CRcMZsM3Y4q,0.734,0.64,9,-7.638,0,0.182,0.0895,0.0,0.173,0.351,90.011,audio_features,2dXME00xUY1CRcMZsM3Y4q,https://api.spotify.com/v1/tracks/2dXME00xUY1CRcMZsM3Y4q,https://api.spotify.com/v1/audio-analysis/2dXME00xUY1CRcMZsM3Y4q,270653,4
6N3oYlfZ2RPdjMYdHCRmFS,Hip-Hop Saved My Life (feat. Nikki Jean),"['Lupe Fiasco', 'Nikki Jean']",47,Lupe Fiasco's The Cool,spotify:track:6N3oYlfZ2RPdjMYdHCRmFS,0.705,0.684,0,-5.759,1,0.145,0.0353,0.0,0.206,0.246,100.006,audio_features,6N3oYlfZ2RPdjMYdHCRmFS,https://api.spotify.com/v1/tracks/6N3oYlfZ2RPdjMYdHCRmFS,https://api.spotify.com/v1/audio-analysis/6N3oYlfZ2RPdjMYdHCRmFS,242507,4
1ZiCTRaAxZBf0GoiGhkiRp,Cake,['Lupe Fiasco'],46,Samurai,spotify:track:1ZiCTRaAxZBf0GoiGhkiRp,0.505,0.81,6,-4.989,0,0.135,0.0365,2.43e-05,0.388,0.575,176.189,audio_features,1ZiCTRaAxZBf0GoiGhkiRp,https://api.spotify.com/v1/tracks/1ZiCTRaAxZBf0GoiGhkiRp,https://api.spotify.com/v1/audio-analysis/1ZiCTRaAxZBf0GoiGhkiRp,202920,4
1SKtsG3EsJw75hNMRrCgLm,No. 1 Headband,['Lupe Fiasco'],47,Samurai,spotify:track:1SKtsG3EsJw75hNMRrCgLm,0.707,0.662,8,-7.161,0,0.0547,0.114,0.000102,0.1,0.269,88.079,audio_features,1SKtsG3EsJw75hNMRrCgLm,https://api.spotify.com/v1/tracks/1SKtsG3EsJw75hNMRrCgLm,https://api.spotify.com/v1/audio-analysis/1SKtsG3EsJw75hNMRrCgLm,263667,4
1WxzZoWBTmB68AtyA6ejBB,Haan Ke Haan,"['Sohail Sen', 'Monali Thakur', 'Kausar Munir']",74,Maharaj,spotify:track:1WxzZoWBTmB68AtyA6ejBB,0.617,0.479,8,-10.312,1,0.0349,0.558,0.0,0.285,0.615,129.901,audio_features,1WxzZoWBTmB68AtyA6ejBB,https://api.spotify.com/v1/tracks/1WxzZoWBTmB68AtyA6ejBB,https://api.spotify.com/v1/audio-analysis/1WxzZoWBTmB68AtyA6ejBB,204042,3
1ocYa8PoVd5e2vPn0xHJcA,Saiyaara,"['Sohail Sen', 'Mohit Chauhan', 'Tarannum Malik Jain', 'Kausar Munir']",66,Ek Tha Tiger,spotify:track:1ocYa8PoVd5e2vPn0xHJcA,0.659,0.665,8,-8.181,0,0.0266,0.456,0.000486,0.0898,0.692,93.012,audio_features,1ocYa8PoVd5e2vPn0xHJcA,https://api.spotify.com/v1/tracks/1ocYa8PoVd5e2vPn0xHJcA,https://api.spotify.com/v1/audio-analysis/1ocYa8PoVd5e2vPn0xHJcA,252160,4
0rxEPf4Y6uBmV3hkrV340a,Isq Risk,"['Sohail Sen', 'Rahat Fateh Ali Khan', 'Irshad Kamil']",64,Mere Brother Ki Dulhan,spotify:track:0rxEPf4Y6uBmV3hkrV340a,0.846,0.634,10,-7.753,0,0.0432,0.122,0.0,0.146,0.944,104.964,audio_features,0rxEPf4Y6uBmV3hkrV340a,https://api.spotify.com/v1/tracks/0rxEPf4Y6uBmV3hkrV340a,https://api.spotify.com/v1/audio-analysis/0rxEPf4Y6uBmV3hkrV340a,295079,4
3G2I8KB7bTWmvE1tHSlMHg,Laapata,"['Sohail Sen', 'KK', 'Palak Muchhal', 'Anvita Dutt']",56,Ek Tha Tiger,spotify:track:3G2I8KB7bTWmvE1tHSlMHg,0.726,0.946,11,-6.49,0,0.046,0.216,0.0169,0.163,0.869,108.021,audio_features,3G2I8KB7bTWmvE1tHSlMHg,https://api.spotify.com/v1/tracks/3G2I8KB7bTWmvE1tHSlMHg,https://api.spotify.com/v1/audio-analysis/3G2I8KB7bTWmvE1tHSlMHg,254851,4
5kg1GacbhgQfLcbgOBRO9c,Tune Maari Entriyaan,"['Sohail Sen', 'Vishal Dadlani', 'KK', 'Neeti Mohan', 'Bappi Lahiri', 'Irshad Kamil']",54,Gunday,spotify:track:5kg1GacbhgQfLcbgOBRO9c,0.794,0.865,8,-5.333,1,0.215,0.149,1.38e-05,0.0468,0.779,126.658,audio_features,5kg1GacbhgQfLcbgOBRO9c,https://api.spotify.com/v1/tracks/5kg1GacbhgQfLcbgOBRO9c,https://api.spotify.com/v1/audio-analysis/5kg1GacbhgQfLcbgOBRO9c,313365,4
44OZwf1pS0nnoPJEz2pqAX,Madhubala,"['Sohail Sen', 'Ali Zafar', 'Shweta Pandit', 'Irshad Kamil']",54,Mere Brother Ki Dulhan,spotify:track:44OZwf1pS0nnoPJEz2pqAX,0.797,0.977,1,-7.181,1,0.107,0.438,0.000503,0.0719,0.454,129.044,audio_features,44OZwf1pS0nnoPJEz2pqAX,https://api.spotify.com/v1/tracks/44OZwf1pS0nnoPJEz2pqAX,https://api.spotify.com/v1/audio-analysis/44OZwf1pS0nnoPJEz2pqAX,263236,4
7gw6rSstVq9CmuQAaZhWm8,Asalaam-e-Ishqum,"['Sohail Sen', 'Neha Bhasin', 'Bappi Lahiri', 'Irshad Kamil']",53,Gunday,spotify:track:7gw6rSstVq9CmuQAaZhWm8,0.765,0.908,6,-5.043,0,0.052,0.0605,3.23e-06,0.233,0.891,106.993,audio_features,7gw6rSstVq9CmuQAaZhWm8,https://api.spotify.com/v1/tracks/7gw6rSstVq9CmuQAaZhWm8,https://api.spotify.com/v1/audio-analysis/7gw6rSstVq9CmuQAaZhWm8,278988,4
6RZwj2PZDqM6g7gmO6bOxw,Do Dhaari Talwaar,"['Sohail Sen', 'Shahid Mallya', 'Shweta Pandit', 'Irshad Kamil']",53,Mere Brother Ki Dulhan,spotify:track:6RZwj2PZDqM6g7gmO6bOxw,0.703,0.883,0,-7.85,0,0.045,0.47,8.46e-06,0.31,0.839,135.05,audio_features,6RZwj2PZDqM6g7gmO6bOxw,https://api.spotify.com/v1/tracks/6RZwj2PZDqM6g7gmO6bOxw,https://api.spotify.com/v1/audio-analysis/6RZwj2PZDqM6g7gmO6bOxw,300826,4
3Kd0dzfRnf5DOExPHMdDt3,Dhunki,"['Sohail Sen', 'Neha Bhasin', 'Irshad Kamil']",53,Mere Brother Ki Dulhan,spotify:track:3Kd0dzfRnf5DOExPHMdDt3,0.726,0.77,1,-6.479,0,0.0536,0.296,0.0,0.0557,0.887,94.961,audio_features,3Kd0dzfRnf5DOExPHMdDt3,https://api.spotify.com/v1/tracks/3Kd0dzfRnf5DOExPHMdDt3,https://api.spotify.com/v1/audio-analysis/3Kd0dzfRnf5DOExPHMdDt3,257620,4
3PdOdofQ2xS8MLpyE6lzFJ,Saaiyaan,"['Sohail Sen', 'Shahid Mallya', 'Irshad Kamil']",52,Gunday,spotify:track:3PdOdofQ2xS8MLpyE6lzFJ,0.493,0.779,11,-7.103,0,0.0534,0.186,0.0,0.115,0.568,175.944,audio_features,3PdOdofQ2xS8MLpyE6lzFJ,https://api.spotify.com/v1/tracks/3PdOdofQ2xS8MLpyE6lzFJ,https://api.spotify.com/v1/audio-analysis/3PdOdofQ2xS8MLpyE6lzFJ,257358,4
